,GWNO,EVENT_ID_CNTY,EVENT_ID_NO_CNTY,EVENT_DATE,YEAR,TIME_PRECISION,EVENT_TYPE,ACTOR1,ALLY_ACTOR_1,INTER1,ACTOR2,ALLY_ACTOR_2,INTER2,INTERACTION,COUNTRY,ADMIN1,ADMIN2,ADMIN3,LOCATION,LATITUDE,LONGITUDE,GEO_PRECISION,SOURCE,NOTES,FATALITIES,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35
46363,501,11KEN,46365,1997-02-25,1997,1,Riots/Protests,Protesters (Kenya),Students (Kenya),6,,,0,60,Kenya,Nairobi,Starehe,Nairobi Central,Nairobi,-1.28333,36.81667,1,Associated Press International,Third day of students protesting after death of fellow student leader.,0,,,,,,,,,,,
46364,501,12KEN,46366,1997-02-26,1997,1,Riots/Protests,Protesters (Kenya),Students (Kenya),6,Police Forces of Kenya (1978-2002),,1,16,Kenya,Nairobi,Starehe,Nairobi Central,Nairobi,-1.28333,36.81667,1,Associated Press International,Kenya Polytechnic students protested the death of a Nairobi student that occurred a few days prior. Police with clubs broke up the demonstration. No reports of injuries.,0,,,,,,,,,,,
46365,501,13KEN,46367,1997-03-23,1997,1,Battle-No change of territory,Unidentified Ethnic Militia (Ethiopia),,4,Police Forces of Kenya (1978-2002),,1,14,Kenya,Mandera,Mandera West,Takaba South,Kokai,3.31667,40.45,1,BBC Monitoring,Ethiopian raiders clash with Kenyan security forces,16,,,,,,,,,,,
46366,501,14KEN,46368,1997-03-23,1997,1,Violence against civilians,Unidentified Ethnic Militia (Ethiopia),,4,Civilians (Kenya),,7,47,Kenya,Mandera,Mandera West,Takaba South,Kokai,3.31667,40.45,1,BBC Monitoring,Ethiopian raiders attack and kill Kenyan civilians,41,,,,,,,,,,,
46367,501,15KEN,46369,1997-03-27,1997,1,Battle-No change of territory,Unidentified Armed Group (Ethiopia),,3,Police Forces of Kenya (1978-2002),,1,13,Kenya,Marsabit,North Horr,Illeret,Ileret,4.31667,36.21667,1,Reuters News,Ethiopian bandits kill 16 policemen who engaged them following a raid on a village.,16,,,,,,,,,,,
46368,501,16KEN,46370,1997-03-27,1997,1,Battle-No change of territory,Unidentified Ethnic Militia (Ethiopia),,4,Police Forces of Kenya (1978-2002),,1,14,Kenya,Mandera,Mandera West,Takaba South,Kokai,3.31667,40.45,2,Reuters,Ethiopian raiders clash with Kenyan security forces,0,,,,,,,,,,,
46369,501,17KEN,46371,1997-03-27,1997,1,Violence against civilians,Unidentified Armed Group (Ethiopia),,3,Civilians (Kenya),,7,37,Kenya,Marsabit,North Horr,Illeret,Ileret,4.31667,36.21667,1,Reuters News,Ethiopian bandits kill 80 and steal their cattle.,80,,,,,,,,,,,
46370,501,18KEN,46372,1997-03-27,1997,1,Violence against civilians,Unidentified Ethnic Militia (Ethiopia),,4,Civilians (Kenya),,7,47,Kenya,Mandera,Mandera West,Takaba South,Kokai,3.31667,40.45,2,Reuters,Raiders from Ethiopia attack Kenyans,26,,,,,,,,,,,
46371,501,19KEN,46373,1997-04-02,1997,1,Riots/Protests,Protesters (Kenya),,6,,,0,60,Kenya,Kisumu,Kisumu Central,Market Milimani,Kisumu,-0.1,34.75,1,Xinhua,Railway workers go on strike in protest of salary payments.,0,,,,,,,,,,,
46372,501,20KEN,46374,1997-04-02,1997,1,Riots/Protests,Protesters (Kenya),,6,,,0,60,Kenya,Mombasa,Mvita,Tononoka,Mombasa,-4.05,39.66667,1,Xinhua,Railway workers go on strike in protest of salary payments.,0,,,,,,,,,,,
46373,501,21KEN,46375,1997-04-02,1997,1,Riots/Protests,Protesters (Kenya),,6,,,0,60,Kenya,Nairobi,Starehe,Nairobi Central,Nairobi,-1.28333,36.81667,1,Xinhua,Railway workers go on strike in protest of salary payments.,0,,,,,,,,,,,
46374,501,22KEN,46376,1997-04-02,1997,1,Riots/Protests,Protesters (Kenya),,6,,,0,60,Kenya,Nakuru,Nakuru Town East,Kivumbini,Nakuru,-0.3,36.0833,1,Xinhua,Railway workers go on strike in protest of salary payments.,0,,,,,,,,,,,
46375,501,23KEN,46377,1997-04-11,1997,1,Battle-No change of territory,Unidentified Armed Group (Kenya),,3,Police Forces of Kenya (1978-2002),,1,13,Kenya,Marsabit,Laisamis,Laisamis,Laisamis,1.6,37.8,1,BBC Monitoring Service: Africa,"Police forces kill six cattle thieves and recover nearly 2,000 head of cattle. The thieves numbered 60.",6,,,,,,,,,,,
46376,501,24KEN,46378,1997-04-12,1997,1,Violence against civilians,Police Forces of Kenya (1978-2002),,1,Civilians (Kenya),NDP: National Development Party,7,17,Kenya,Uasin Gishu,Ainabkoi,Kapsoya,Eldoret,0.516667,35.283333,1,Agence France Presse,"Police beat up opposition MPs Oburu and Raila Odinga, sons of former opposiiton leader Odinga Odinga in Eldoret.",0,,,,,,,,,,,
46377,501,25KEN,46379,1997-04-14,1997,1,Riots/Protests,Protesters (Kenya),NARC: National Rainbow Coalition,6,Police Forces of Kenya (1978-2002),,1,16,Kenya,Kitui,Kitui Central,Township,Kitui,-1.36667,38.01667,1,Agence France Presse,200 protesters in support of NARC MP Charity Nguilu gathered at her home in Kitui. Police fired tear gas to disperse the crowd.,0,,,,,,,,,,,
46378,501,26KEN,46380,1997-04-14,1997,1,Violence against civilians,Police Forces of Kenya (1978-2002),,1,Civilians (Kenya),Private Security Forces (Kenya); FORD-Kenya: Forum for the Restoration of Democracy-Kenya,7,17,Kenya,Kakamega,Lurambi,Sheywe,Kakamega,0.2833,34.75,1,Agence France Presse; KTN TV,Riot police shot and seriously wounded a bodyguard of FORD opposition leader Michael Kijana Wamalwa in Kakamega.,0,,,,,,,,,,,
46379,501,27KEN,46381,1997-04-18,1997,1,Riots/Protests,Protesters (Kenya),,6,,,0,60,Kenya,Nairobi,Starehe,Nairobi Central,Nairobi,-1.28333,36.81667,1,Xinhua,Street hawkers gather at Nairobi city council offices in protest of confiscated goods and the arrest of a colleague.,0,,,,,,,,,,,
46380,501,28KEN,46382,1997-04-21,1997,1,Violence against civilians,Unidentified Armed Group (Kenya),,3,Civilians (Kenya),,7,37,Kenya,Nairobi,Starehe,Nairobi Central,Nairobi,-1.28333,36.81667,1,Agence France Presse,Gunmen shot and killed prominent Kenyan criminal lawyer Samuel Ndubgi.,1,,,,,,,,,,,
46381,501,29KEN,46383,1997-05-01,1997,1,Battle-No change of territory,Pokot Ethnic Militia (Kenya),,4,Police Forces of Kenya (1978-2002),Military Forces of Kenya (1978-2002) General Service Unit,1,14,Kenya,Elgeyo-Marakwet,Keiyo North,Kapchemutwa,Iten,0.670173,35.507735,2,Reuters News; Agence France Presse,"Police and General Service Unit shoot dead seven Pokot cattle thieves over a two-day battle (4 fatalities coded for May 1, 3 fatalities coded for May 2). Up to 90 militiamen suspected to have drowned in Kerio River while escaping.",4,,,,,,,,,,,
46382,501,30KEN,46384,1997-05-02,1997,1,Battle-No change of territory,Pokot Ethnic Militia (Kenya),,4,Police Forces of Kenya (1978-2002),Military Forces of Kenya (1978-2002) General Service Unit,1,14,Kenya,Elgeyo-Marakwet,Keiyo North,Kapchemutwa,Iten,0.670173,35.507735,1,Reuters News; Agence France Presse,"Police and General Service Unit shoot dead seven Pokot cattle thieves over a two-day battle (4 fatalities coded for May 1, 3 fatalities coded for May 2). 90 militiamen suspected to have drowned in Kerio River while escaping.",3,,,,,,,,,,,
46383,501,31KEN,46385,1997-05-03,1997,1,Riots/Protests,Rioters (Kenya),NARC: National Rainbow Coalition; FORD-Kenya: Forum for the Restoration of Democracy-Kenya,5,Military Forces of Kenya (1978-2002) General Service Unit,,1,15,Kenya,Nairobi,Starehe,Nairobi Central,Nairobi,-1.28333,36.81667,1,Reuters News; Agence France Presse; KTN TV,One killed and six injured when opposition rioters burnt KANU offices in protest of the Public Order Act. General Services Unit fired tear gas and beat rioters. One motorist beaten to dead. Police deny any fatalities occurred.,1,,,,,,,,,,,
46384,501,32KEN,46386,1997-05-12,1997,1,Battle-No change of territory,Pokot Ethnic Militia (Kenya),,4,Marakwet Ethnic Militia (Kenya),,4,44,Kenya,Turkana,Turkana Central,Kerio Delta,Kerio,2.98333,36.11667,1,Reuters News; Agence France Presse,"Clashes between Pokot and Marakwet militia along Kerio River. 15 dead over two days (8 fatalities coded for May 12, 7 fatalities coded for May 14).",8,,,,,,,,,,,
46385,501,33KEN,46387,1997-05-14,1997,1,Battle-No change of territory,Pokot Ethnic Militia (Kenya),,4,Marakwet Ethnic Militia (Kenya),,4,44,Kenya,Turkana,Turkana Central,Kerio Delta,Kerio,2.98333,36.11667,1,Reuters News; Agence France Presse,"Clashes between Pokot and Marakwet militia along Kerio River. 15 dead over two days (8 fatalities coded for May 12, 7 fatalities coded for May 14).",7,,,,,,,,,,,
46386,501,34KEN,46388,1997-05-31,1997,1,Riots/Protests,Rioters (Kenya),,5,Police Forces of Kenya (1978-2002),,1,15,Kenya,Nairobi,Starehe,Nairobi Central,Nairobi,-1.28333,36.81667,1,Agence France Presse,"Rioters demanding constitutional reforms set up burning barricades and smashed windows of shops. Police fired tear gas, rubber bullets and beat rioters.",0,,,,,,,,,,,
46387,501,35KEN,46389,1997-05-31,1997,1,Riots/Protests,Police Forces of Kenya (1978-2002),Military Forces of Kenya (1978-2002) General Service Unit,1,Rioters (Kenya),,5,15,Kenya,Nairobi,Starehe,Nairobi Central,Nairobi,-1.28333,36.81667,1,Agence France Presse,"700 rioters demanding constitutional reforms set up burning barricades, smashed windows of shops, and threw stones at police. Police fired tear gas, rubber bullets and beat rioters.",0,,,,,,,,,,,
46388,501,36KEN,46390,1997-06-09,1997,1,Battle-No change of territory,Borana Ethnic Militia (Kenya),,4,Degodia Ethnic Militia (Kenya),Civilians (Kenya),4,44,Kenya,Isiolo,Isiolo North,Bulla Pesa,Isiolo,0.35462,37.58218,2,BBC Monitoring Service: Africa,Tribal fighting cause the death of a worker and the closure of voter registration facility.,1,,,,,,,,,,,
46389,501,37KEN,46391,1997-06-16,1997,2,Violence against civilians,Unidentified Armed Group (Kenya),,3,Civilians (International),Christian Group (Poland),7,37,Kenya,Nairobi,Starehe,Nairobi Central,Nairobi,-1.28333,36.81667,1,Agence France Presse,Unknown group use iron bars to attack 3 Polish nuns at residence of an archbishop. Attack suspected to be connected to archbishops stance on justice in the country.,0,,,,,,,,,,,
46390,501,38KEN,46392,1997-06-19,1997,1,Riots/Protests,Rioters (Kenya),,5,Police Forces of Kenya (1978-2002),,1,15,Kenya,Nairobi,Starehe,Nairobi Central,Nairobi,-1.28333,36.81667,1,,Police disperse opposition protesters who were demanding constitutional reform.,0,,,,,,,,,,,
46391,501,39KEN,46393,1997-06-19,1997,1,Riots/Protests,Rioters (Kenya),Students (Kenya),5,Police Forces of Kenya (1978-2002),,1,15,Kenya,Nairobi,Starehe,Nairobi Central,Nairobi,-1.28333,36.81667,1,The Globe and Mail; Associated Press,Students stoned motorists and police while marching to parliament to demand constitutional reforms. Police fired tear gas. 7 students and 3 police injured.,0,,,,,,,,,,,
46392,501,40KEN,46394,1997-06-19,1997,1,Riots/Protests,Rioters (Kenya),KANU: Kenya African National Union,5,Rioters (Kenya),NARC: National Rainbow Coalition,5,55,Kenya,Nairobi,Starehe,Nairobi Central,Nairobi,-1.28333,36.81667,1,The Globe and Mail; Associated Press,MPs from opposing political parties throw punches inside parliament over budget talks.,0,,,,,,,,,,,
46393,501,41KEN,46395,1997-07-03,1997,1,Riots/Protests,Protesters (Kenya),,6,,,0,60,Kenya,Nairobi,Starehe,Nairobi Central,Nairobi,-1.28333,36.81667,1,Reuters News,Students protest in Nairobi over the expulsion of those not paying student fees.,0,,,,,,,,,,,
46394,501,42KEN,46396,1997-07-03,1997,1,Riots/Protests,Police Forces of Kenya (1978-2002),,1,Rioters (Kenya),Students (Kenya),5,15,Kenya,Nairobi,Starehe,Nairobi Central,Nairobi,-1.28333,36.81667,1,Reuters News,Police clashed with stone throwing students in Nairobi as they protest the expulsion of those who did not pay their student fees.,0,,,,,,,,,,,
46395,501,43KEN,46397,1997-07-05,1997,1,Riots/Protests,Rioters (Kenya),,5,,,0,50,Kenya,Nairobi,Starehe,Nairobi Central,Nairobi,-1.28333,36.81667,1,BBC Monitoring Service: Africa,Students of Jomo Kenyatta University riot over the intended repeal of the Public Universities Act. The rioting caused the burning down of an office block.,0,,,,,,,,,,,
46396,501,44KEN,46398,1997-07-05,1997,1,Riots/Protests,Rioters (Kenya),,5,Police Forces of Kenya (1978-2002),,1,15,Kenya,Nairobi,Starehe,Nairobi Central,Nairobi,-1.28333,36.81667,1,BBC Monitoring Service: Africa,Police use tear gas to quell student rioters.,0,,,,,,,,,,,
46397,501,45KEN,46399,1997-07-07,1997,1,Riots/Protests,Rioters (Kenya),,5,Police Forces of Kenya (1978-2002),,1,15,Kenya,Laikipia,Laikipia West,Igwamiti,Nyahururu,0.0333,36.3667,1,Reuters News,A policeman is shot and wounded while trying disperse protesters.,0,,,,,,,,,,,
46398,501,46KEN,46400,1997-07-07,1997,1,Violence against civilians,Police Forces of Kenya (1978-2002),,1,Civilians (Kenya),Protesters (Kenya),7,17,Kenya,Nairobi,Starehe,Nairobi Central,Nairobi,-1.28333,36.81667,1,Reuters News,"Riot police, armed with batons forcefully break up an opposition protest in Nairobis Uhuru Park and kill three in the process.",3,,,,,,,,,,,
46399,501,47KEN,46401,1997-07-07,1997,1,Violence against civilians,Police Forces of Kenya (1978-2002),,1,Civilians (Kenya),Protesters (Kenya),7,17,Kenya,Kiambu,Thika Town,Kamenu,Thika,-1.05,37.083333,1,Reuters News,A small boy is killed when police break a protest in Thika.,1,,,,,,,,,,,
46400,501,48KEN,46402,1997-07-07,1997,1,Violence against civilians,Rioters (Kenya),,5,Civilians (Kenya),,7,57,Kenya,Laikipia,Laikipia West,Igwamiti,Nyahururu,0.0333,36.3667,1,Reuters News,Seven bystanders are shot and killed by protesters.,7,,,,,,,,,,,
46401,501,49KEN,46403,1997-07-08,1997,1,Riots/Protests,Protesters (Kenya),,6,Police Forces of Kenya (1978-2002),,1,16,Kenya,Nairobi,Starehe,Nairobi Central,Nairobi,-1.28333,36.81667,1,The Globe and Mail,"The day following the breakup of a demonstration in Nairobi police fire live rounds into a small crowd of those lingering and kill eight, including one police officer through collateral damage.",8,,,,,,,,,,,
46402,501,50KEN,46404,1997-07-09,1997,1,Riots/Protests,Rioters (Kenya),,5,Police Forces of Kenya (1978-2002),,1,15,Kenya,Nairobi,Starehe,Nairobi Central,Nairobi,-1.28333,36.81667,1,Reuters News,"Police units stormed Nairobi University, firing teargas to disperse defiant protesters who are lighting cars on fire. Fifteen die later in a hospital.",15,,,,,,,,,,,
46403,501,51KEN,46405,1997-07-11,1997,1,Riots/Protests,Protesters (Kenya),,6,,,0,60,Kenya,Nakuru,Nakuru Town East,Kivumbini,Nakuru,-0.3,36.0833,1,BBC Monitoring Service: Africa,University students protest killings by police in Nairobi.,0,,,,,,,,,,,
46404,501,52KEN,46406,1997-07-14,1997,1,Riots/Protests,Rioters (Kenya),,5,Police Forces of Kenya (1978-2002),,1,15,Kenya,Nairobi,Starehe,Nairobi Central,Nairobi,-1.28333,36.81667,1,Reuters News,Police battle stone throwing student rioters who chanted anti-Moi slogans in Nairobi.,0,,,,,,,,,,,
46405,501,53KEN,46407,1997-07-15,1997,2,Riots/Protests,Rioters (Kenya),,5,,,0,50,Kenya,Nairobi,Starehe,Nairobi Central,Nairobi,-1.28333,36.81667,1,Reuters News,Student rioters demanding constitutional reforms briefly take control of a small portion of highway in Nairobi. Rioting has carried over from the previous day.,0,,,,,,,,,,,
46406,501,54KEN,46408,1997-07-15,1997,2,Riots/Protests,Rioters (Kenya),,5,Police Forces of Kenya (1978-2002),,1,15,Kenya,Nairobi,Starehe,Nairobi Central,Nairobi,-1.28333,36.81667,1,Reuters News,Police battle student rioters protesting constitutional reforms.,0,,,,,,,,,,,
46407,501,55KEN,46409,1997-07-21,1997,1,Violence against civilians,Unidentified Armed Group (Kenya),,3,Civilians (Kenya),,7,37,Kenya,Isiolo,Isiolo North,Bulla Pesa,Isiolo,0.35462,37.58218,1,BBC Monitoring Service: Africa,"Bandits kill three cattle trading businessmen, stealing their cattle. One of the businessmen is identified as Muhammad Aliyo.",3,,,,,,,,,,,
46408,501,56KEN,46410,1997-07-24,1997,1,Battle-No change of territory,KANU: Kenya African National Union,,3,NARC: National Rainbow Coalition,,3,33,Kenya,Nairobi,Starehe,Nairobi Central,Nairobi,-1.28333,36.81667,1,Reuters News,"Ruling party and opposition party supporters clash in Nairobi, throwing stones at each other.",0,,,,,,,,,,,
46409,501,57KEN,46411,1997-08-08,1997,1,Battle-No change of territory,NARC: National Rainbow Coalition,,3,Police Forces of Kenya (1978-2002),,1,13,Kenya,Kiambu,Kiambu,Riabai,Kiambu,-1.16667,36.83333,1,Reuters News,Two police killed in a clash with opposition supporters.,2,,,,,,,,,,,
46410,501,58KEN,46412,1997-08-08,1997,1,Battle-No change of territory,NARC: National Rainbow Coalition,,3,Police Forces of Kenya (1978-2002),,1,13,Kenya,Nairobi,Starehe,Nairobi Central,Nairobi,-1.28333,36.81667,1,Reuters News,One supporter of NARC is killed in a clash with police at Uhuru Park in Nairobi.,1,,,,,,,,,,,
46411,501,59KEN,46413,1997-08-08,1997,1,Violence against civilians,NARC: National Rainbow Coalition,,3,Civilians (Kenya),,7,37,Kenya,Nairobi,Starehe,Nairobi Central,Nairobi,-1.28333,36.81667,1,Reuters News,NARC members kill a man thought to be a KANU or police spy at a rally.,1,,,,,,,,,,,
46412,501,60KEN,46414,1997-08-10,1997,1,Riots/Protests,Rioters (Kenya),,5,,,0,50,Kenya,Nakuru,Nakuru Town East,Kivumbini,Nakuru,-0.3,36.0833,1,Reuters News,"Student rioters burn down a trading center, resulting in a temporally close of Egerton University.",0,,,,,,,,,,,
46413,501,61KEN,46415,1997-08-13,1997,1,Battle-No change of territory,Unidentified Armed Group (Kenya),,3,Police Forces of Kenya (1978-2002),,1,13,Kenya,Mombasa,Mvita,Tononoka,Mombasa,-4.05,39.66667,1,Reuters News,Armed attackers kill six police officers and seven civilians at a police station in Mombasa.,6,,,,,,,,,,,
46414,501,62KEN,46416,1997-08-13,1997,1,Violence against civilians,Unidentified Armed Group (Kenya),,3,Civilians (Kenya),,7,37,Kenya,Mombasa,Mvita,Tononoka,Mombasa,-4.05,39.66667,1,Reuters News,Armed attackers kill six police officers and seven civilians at a police station in Mombasa.,7,,,,,,,,,,,
46415,501,63KEN,46417,1997-08-14,1997,1,Battle-No change of territory,Militia (Students),,3,Police Forces of Kenya (1978-2002),,1,13,Kenya,Mombasa,Mvita,Tononoka,Mombasa,-4.05,39.66667,1,BBC Monitoring Service: Africa,Police arrest twenty in connection with a Mombasa police station attack.,0,,,,,,,,,,,
46416,501,64KEN,46418,1997-08-15,1997,1,Battle-No change of territory,Militia (Students),,3,Police Forces of Kenya (1978-2002),,1,13,Kenya,Mombasa,Mvita,Tononoka,Mombasa,-4.05,39.66667,1,Reuters News,Police battle armed youths following the murder and police and civilians. The police believed the youths were involved.,0,,,,,,,,,,,
46417,501,65KEN,46419,1997-08-15,1997,1,Battle-No change of territory,Unidentified Armed Group (Kenya),,3,Police Forces of Kenya (1978-2002),,1,13,Kenya,Kilifi,Kilifi South,Shimo La Tewa,Mtwapa,-3.949864,39.745037,1,Reuters News,Police kill an armed person at a tourist village northeast of Mombasa.,1,,,,,,,,,,,
46418,501,66KEN,46420,1997-08-16,1997,1,Battle-No change of territory,Unidentified Armed Group (Kenya),,3,Police Forces of Kenya (1978-2002),,1,13,Kenya,Kwale,Matuga,Waa,Kaya Bombo Forest,-4.13333,39.58333,1,Reuters News,"The bodies of two policemen, missing since the violence of 8/16/97, were found.",0,,,,,,,,,,,
46419,501,67KEN,46421,1997-08-16,1997,1,Battle-No change of territory,Unidentified Armed Group (Kenya),,3,Police Forces of Kenya (1978-2002),,1,13,Kenya,Mombasa,Mvita,Tononoka,Mombasa,-4.05,39.66667,1,Reuters News,Police kill three armed persons while on a manhunt for attackers of a police station. Three houses were burnt during the scuffle.,3,,,,,,,,,,,
46420,501,68KEN,46422,1997-08-17,1997,1,Battle-No change of territory,Unidentified Armed Group (Kenya),,3,Police Forces of Kenya (1978-2002),,1,13,Kenya,Mombasa,Mvita,Tononoka,Mombasa,-4.05,39.66667,1,Reuters News,Six are killed in an overnight police battle in a Mombasa slum.,6,,,,,,,,,,,
46421,501,69KEN,46423,1997-08-17,1997,1,Violence against civilians,Unidentified Armed Group (Kenya),,3,Civilians (Kenya),,7,37,Kenya,Mombasa,Mvita,Tononoka,Mombasa,-4.05,39.66667,1,Reuters News,Arsonists set ablaze 100 roadside trading kiosks and dozens of houses. Five killed.,5,,,,,,,,,,,
46422,501,70KEN,46424,1997-08-18,1997,1,Battle-No change of territory,Unidentified Armed Group (Kenya),,3,Police Forces of Kenya (1978-2002),,1,13,Kenya,Mombasa,Mvita,Tononoka,Mombasa,-4.05,39.66667,1,Reuters News,"Bodies of police found, victims of the ongoing violence in and around Mombasa.",0,,,,,,,,,,,
46423,501,71KEN,46425,1997-08-18,1997,1,Violence against civilians,Unidentified Armed Group (Kenya),,3,Civilians (Kenya),,7,37,Kenya,Nairobi,Starehe,Nairobi Central,Nairobi,-1.28333,36.81667,1,Daily Telegraph (UK),Five killed by raiders at a Nairobi area slum known as Kongowea.,5,,,,,,,,,,,
46424,501,72KEN,46426,1997-08-19,1997,1,Battle-No change of territory,Unidentified Armed Group (Kenya),,3,Police Forces of Kenya (1978-2002),,1,13,Kenya,Kilifi,Kilifi South,Shimo La Tewa,Mtwapa,-3.949864,39.745037,1,BBC Monitoring Service: Africa,A raider was killed by police as his group ran into a police ambush. Others arrested.,1,,,,,,,,,,,
46425,501,73KEN,46427,1997-08-19,1997,1,Battle-No change of territory,Unidentified Armed Group (Kenya),,3,Kongowea Village Militia (Kenya),,4,34,Kenya,Mombasa,Mvita,Tononoka,Mombasa,-4.05,39.66667,1,BBC Monitoring Service: Africa,A raider is killed by vigilante villagers outside of Mombasa.,1,,,,,,,,,,,
46426,501,74KEN,46428,1997-08-19,1997,1,Violence against civilians,Unidentified Armed Group (Kenya),,3,Civilians (Kenya),,7,37,Kenya,Mombasa,Nyali,Frere Town,Kisauni,-4.03333,39.68333,1,BBC Monitoring Service: Africa,An armed group kills a civilian in a Mombasa suburb.,1,,,,,,,,,,,
46427,501,75KEN,46429,1997-08-19,1997,1,Violence against civilians,Unidentified Armed Group (Kenya),,3,Civilians (Kenya),,7,37,Kenya,Mombasa,Likoni,Timbwani,Likoni,-4.08394,39.66161,1,BBC Monitoring Service: Africa,An armed group burns a bar and several houses to the ground.,0,,,,,,,,,,,
46428,501,76KEN,46430,1997-08-19,1997,1,Violence against civilians,Unidentified Armed Group (Kenya),,3,Civilians (Kenya),,7,37,Kenya,Mombasa,Mvita,Tononoka,Mombasa,-4.05,39.66667,1,BBC Monitoring Service: Africa,An armed group kills a civilian in a Mombasa suburb.,1,,,,,,,,,,,
46429,501,77KEN,46431,1997-08-19,1997,1,Violence against civilians,Unidentified Armed Group (Kenya),,3,Civilians (Kenya),,7,37,Kenya,Mombasa,Mvita,Tononoka,Mombasa,-4.05,39.66667,1,BBC Monitoring Service: Africa,Two killed during a raid on a Mombasa area slum.,2,,,,,,,,,,,
