"","EVENT_DATE","YEAR","EVENT_TYPE","PERPRETATORS","VICTIMS","COUNTRY","ADMIN1","ADMIN2","ADMIN3","LOCATION","LATITUDE","LONGITUDE","SOURCE","NOTES","FATALITIES"
"47","1997-07-07",1997,"Violence against civilians","Police Forces of Kenya (1978-2002)","Civilians (Kenya)","Kenya","Kiambu","Thika Town","Kamenu","Thika",-1.05,37.083333,"Reuters News","A small boy is killed when police break a protest in Thika.",1
"48","1997-07-07",1997,"Violence against civilians","Rioters (Kenya)","Civilians (Kenya)","Kenya","Laikipia","Laikipia West","Igwamiti","Nyahururu",0.0333,36.3667,"Reuters News","Seven bystanders are shot and killed by protesters.",7
"49","1997-07-08",1997,"Riots/Protests","Protesters (Kenya)","Police Forces of Kenya (1978-2002)","Kenya","Nairobi","Starehe","Nairobi Central","Nairobi",-1.28333,36.81667,"The Globe and Mail","The day following the breakup of a demonstration in Nairobi police fire live rounds into a small crowd of those lingering and kill eight, including one police officer through collateral damage.",8
"50","1997-07-09",1997,"Riots/Protests","Rioters (Kenya)","Police Forces of Kenya (1978-2002)","Kenya","Nairobi","Starehe","Nairobi Central","Nairobi",-1.28333,36.81667,"Reuters News","Police units stormed Nairobi University, firing teargas to disperse defiant protesters who are lighting cars on fire. Fifteen die later in a hospital.",15
"51","1997-07-11",1997,"Riots/Protests","Protesters (Kenya)","Unitentified","Kenya","Nakuru","Nakuru Town East","Kivumbini","Nakuru",-0.3,36.0833,"BBC Monitoring Service: Africa","University students protest killings by police in Nairobi.",0
"52","1997-07-14",1997,"Riots/Protests","Rioters (Kenya)","Police Forces of Kenya (1978-2002)","Kenya","Nairobi","Starehe","Nairobi Central","Nairobi",-1.28333,36.81667,"Reuters News","Police battle stone throwing student rioters who chanted anti-Moi slogans in Nairobi.",0
"53","1997-07-15",1997,"Riots/Protests","Rioters (Kenya)","Unitentified","Kenya","Nairobi","Starehe","Nairobi Central","Nairobi",-1.28333,36.81667,"Reuters News","Student rioters demanding constitutional reforms briefly take control of a small portion of highway in Nairobi. Rioting has carried over from the previous day.",0
"54","1997-07-15",1997,"Riots/Protests","Rioters (Kenya)","Police Forces of Kenya (1978-2002)","Kenya","Nairobi","Starehe","Nairobi Central","Nairobi",-1.28333,36.81667,"Reuters News","Police battle student rioters protesting constitutional reforms.",0
"55","1997-07-21",1997,"Violence against civilians","Unidentified Armed Group (Kenya)","Civilians (Kenya)","Kenya","Isiolo","Isiolo North","Bulla Pesa","Isiolo",0.35462,37.58218,"BBC Monitoring Service: Africa","Bandits kill three cattle trading businessmen, stealing their cattle. One of the businessmen is identified as Muhammad Aliyo.",3
"56","1997-07-24",1997,"Battle-No change of territory","KANU: Kenya African National Union","NARC: National Rainbow Coalition","Kenya","Nairobi","Starehe","Nairobi Central","Nairobi",-1.28333,36.81667,"Reuters News","Ruling party and opposition party supporters clash in Nairobi, throwing stones at each other.",0
"57","1997-08-08",1997,"Battle-No change of territory","NARC: National Rainbow Coalition","Police Forces of Kenya (1978-2002)","Kenya","Kiambu","Kiambu","Riabai","Kiambu",-1.16667,36.83333,"Reuters News","Two police killed in a clash with opposition supporters.",2
"58","1997-08-08",1997,"Battle-No change of territory","NARC: National Rainbow Coalition","Police Forces of Kenya (1978-2002)","Kenya","Nairobi","Starehe","Nairobi Central","Nairobi",-1.28333,36.81667,"Reuters News","One supporter of NARC is killed in a clash with police at Uhuru Park in Nairobi.",1
"59","1997-08-08",1997,"Violence against civilians","NARC: National Rainbow Coalition","Civilians (Kenya)","Kenya","Nairobi","Starehe","Nairobi Central","Nairobi",-1.28333,36.81667,"Reuters News","NARC members kill a man thought to be a KANU or police spy at a rally.",1
"60","1997-08-10",1997,"Riots/Protests","Rioters (Kenya)","Unitentified","Kenya","Nakuru","Nakuru Town East","Kivumbini","Nakuru",-0.3,36.0833,"Reuters News","Student rioters burn down a trading center, resulting in a temporally close of Egerton University.",0
"61","1997-08-13",1997,"Battle-No change of territory","Unidentified Armed Group (Kenya)","Police Forces of Kenya (1978-2002)","Kenya","Mombasa","Mvita","Tononoka","Mombasa",-4.05,39.66667,"Reuters News","Armed attackers kill six police officers and seven civilians at a police station in Mombasa.",6
"62","1997-08-13",1997,"Violence against civilians","Unidentified Armed Group (Kenya)","Civilians (Kenya)","Kenya","Mombasa","Mvita","Tononoka","Mombasa",-4.05,39.66667,"Reuters News","Armed attackers kill six police officers and seven civilians at a police station in Mombasa.",7
"63","1997-08-14",1997,"Battle-No change of territory","Militia (Students)","Police Forces of Kenya (1978-2002)","Kenya","Mombasa","Mvita","Tononoka","Mombasa",-4.05,39.66667,"BBC Monitoring Service: Africa","Police arrest twenty in connection with a Mombasa police station attack.",0
"64","1997-08-15",1997,"Battle-No change of territory","Militia (Students)","Police Forces of Kenya (1978-2002)","Kenya","Mombasa","Mvita","Tononoka","Mombasa",-4.05,39.66667,"Reuters News","Police battle armed youths following the murder and police and civilians. The police believed the youths were involved.",0
"65","1997-08-15",1997,"Battle-No change of territory","Unidentified Armed Group (Kenya)","Police Forces of Kenya (1978-2002)","Kenya","Kilifi","Kilifi South","Shimo La Tewa","Mtwapa",-3.949864,39.745037,"Reuters News","Police kill an armed person at a tourist village northeast of Mombasa.",1
"66","1997-08-16",1997,"Battle-No change of territory","Unidentified Armed Group (Kenya)","Police Forces of Kenya (1978-2002)","Kenya","Kwale","Matuga","Waa","Kaya Bombo Forest",-4.13333,39.58333,"Reuters News","The bodies of two policemen, missing since the violence of 8/16/97, were found.",0
"67","1997-08-16",1997,"Battle-No change of territory","Unidentified Armed Group (Kenya)","Police Forces of Kenya (1978-2002)","Kenya","Mombasa","Mvita","Tononoka","Mombasa",-4.05,39.66667,"Reuters News","Police kill three armed persons while on a manhunt for attackers of a police station. Three houses were burnt during the scuffle.",3
"68","1997-08-17",1997,"Battle-No change of territory","Unidentified Armed Group (Kenya)","Police Forces of Kenya (1978-2002)","Kenya","Mombasa","Mvita","Tononoka","Mombasa",-4.05,39.66667,"Reuters News","Six are killed in an overnight police battle in a Mombasa slum.",6
"69","1997-08-17",1997,"Violence against civilians","Unidentified Armed Group (Kenya)","Civilians (Kenya)","Kenya","Mombasa","Mvita","Tononoka","Mombasa",-4.05,39.66667,"Reuters News","Arsonists set ablaze 100 roadside trading kiosks and dozens of houses. Five killed.",5
"70","1997-08-18",1997,"Battle-No change of territory","Unidentified Armed Group (Kenya)","Police Forces of Kenya (1978-2002)","Kenya","Mombasa","Mvita","Tononoka","Mombasa",-4.05,39.66667,"Reuters News","Bodies of police found, victims of the ongoing violence in and around Mombasa.",0
"71","1997-08-18",1997,"Violence against civilians","Unidentified Armed Group (Kenya)","Civilians (Kenya)","Kenya","Nairobi","Starehe","Nairobi Central","Nairobi",-1.28333,36.81667,"Daily Telegraph (UK)","Five killed by raiders at a Nairobi area slum known as Kongowea.",5
"72","1997-08-19",1997,"Battle-No change of territory","Unidentified Armed Group (Kenya)","Police Forces of Kenya (1978-2002)","Kenya","Kilifi","Kilifi South","Shimo La Tewa","Mtwapa",-3.949864,39.745037,"BBC Monitoring Service: Africa","A raider was killed by police as his group ran into a police ambush. Others arrested.",1
"73","1997-08-19",1997,"Battle-No change of territory","Unidentified Armed Group (Kenya)","Kongowea Village Militia (Kenya)","Kenya","Mombasa","Mvita","Tononoka","Mombasa",-4.05,39.66667,"BBC Monitoring Service: Africa","A raider is killed by vigilante villagers outside of Mombasa.",1
"74","1997-08-19",1997,"Violence against civilians","Unidentified Armed Group (Kenya)","Civilians (Kenya)","Kenya","Mombasa","Nyali","Frere Town","Kisauni",-4.03333,39.68333,"BBC Monitoring Service: Africa","An armed group kills a civilian in a Mombasa suburb.",1
"75","1997-08-19",1997,"Violence against civilians","Unidentified Armed Group (Kenya)","Civilians (Kenya)","Kenya","Mombasa","Likoni","Timbwani","Likoni",-4.08394,39.66161,"BBC Monitoring Service: Africa","An armed group burns a bar and several houses to the ground.",0
"76","1997-08-19",1997,"Violence against civilians","Unidentified Armed Group (Kenya)","Civilians (Kenya)","Kenya","Mombasa","Mvita","Tononoka","Mombasa",-4.05,39.66667,"BBC Monitoring Service: Africa","An armed group kills a civilian in a Mombasa suburb.",1
"77","1997-08-19",1997,"Violence against civilians","Unidentified Armed Group (Kenya)","Civilians (Kenya)","Kenya","Mombasa","Mvita","Tononoka","Mombasa",-4.05,39.66667,"BBC Monitoring Service: Africa","Two killed during a raid on a Mombasa area slum.",2
"78","1997-08-19",1997,"Violence against civilians","Unidentified Armed Group (Kenya)","Civilians (Kenya)","Kenya","Mombasa","Mvita","Tononoka","Mombasa",-4.05,39.66667,"The Australian","Waves of gangs kill 30 in a Mombasa tourist market.",30
"79","1997-08-20",1997,"Violence against civilians","Unidentified Armed Group (Kenya)","Civilians (Kenya)","Kenya","Mombasa","Mvita","Tononoka","Mombasa",-4.05,39.66667,"Reuters News","Coastal vigilante villagers lynch two men because they believed they planned to cause violence.",0
"80","1997-08-20",1997,"Violence against civilians","Unidentified Armed Group (Kenya)","Civilians (Kenya)","Kenya","Mombasa","Mvita","Tononoka","Mombasa",-4.05,39.66667,"South China Morning Post","Raiders attacked and burned more than 300 souvenir stalls, injuring several people.",0
"81","1997-08-22",1997,"Violence against civilians","Unidentified Armed Group (Kenya)","Civilians (Kenya)","Kenya","Mombasa","Likoni","Timbwani","Likoni",-4.08394,39.66161,"Reuters News","Gunmen kill two civilians and shoot a policeman in a church.",2
"82","1997-08-24",1997,"Violence against civilians","Unidentified Armed Group (Kenya)","Civilians (Kenya)","Kenya","Mombasa","Likoni","Timbwani","Likoni",-4.08394,39.66161,"Reuters News","A bar owner was shot dead when gangsters raided his business. Two patrons were injured.",1
"83","1997-08-24",1997,"Violence against civilians","Unidentified Armed Group (Kenya)","Civilians (Kenya)","Kenya","Mombasa","Likoni","Timbwani","Likoni",-4.08394,39.66161,"Reuters News","A man was attacked then shot by gangsters in his home.",1
"84","1997-09-06",1997,"Violence against civilians","Unidentified Armed Group (Kenya)","Civilians (Kenya)","Kenya","Mombasa","Likoni","Timbwani","Likoni",-4.08394,39.66161,"Reuters News","Unidentified raiders hacked to death six in a Mombasa suburb restaurant.",6
"85","1997-09-11",1997,"Battle-No change of territory","Unidentified Armed Group (Kenya)","Police Forces of Kenya (1978-2002)","Kenya","Kwale","Msambweni","Gombato Bongwe","Diani",-4.279213,39.594306,"The Times (UK)","Raiders attack a police station, police retaliate killing two.",2
"86","1997-09-11",1997,"Violence against civilians","Unidentified Armed Group (Kenya)","Civilians (International)","Kenya","Kwale","Msambweni","Gombato Bongwe","Ukunda",-4.2875,39.566111,"The Times (UK)","Armed raiders attack British tourists on a bus, causing them to flee. A Kenyan was killed in the attack",1
"87","1997-09-11",1997,"Violence against civilians","Unidentified Armed Group (Kenya)","Civilians (Kenya)","Kenya","Kwale","Msambweni","Gombato Bongwe","Ukunda",-4.2875,39.566111,"The Times (UK)","Raiders attack shops and curio stalls in a resort area.",0
"88","1997-09-12",1997,"Battle-No change of territory","Unidentified Armed Group (Kenya)","Police Forces of Kenya (1978-2002)","Kenya","Mombasa","Mvita","Tononoka","Mombasa",-4.05,39.66667,"Dow Jones International News","Police hunt down and kill eight men accused of killing five in a previous attack.",8
"89","1997-09-12",1997,"Battle-No change of territory","Unidentified Armed Group (Kenya)","Police Forces of Kenya (1978-2002)","Kenya","Mombasa","Mvita","Tononoka","Mombasa",-4.05,39.66667,"Reuters News","Police shoot dead a unidentified gunman in a Mombasa suburb.",1
"90","1997-09-12",1997,"Battle-No change of territory","Unidentified Armed Group (Kenya)","Police Forces of Kenya (1978-2002)","Kenya","Kwale","Msambweni","Gombato Bongwe","Ukunda",-4.2875,39.566111,"Reuters News","Police shoot dead a unidentified gunman in a Mombasa suburb.",1
"91","1997-09-13",1997,"Violence against civilians","Unidentified Armed Group (Kenya)","Civilians (International)","Kenya","West Pokot","Kapenguria","Lokori/Kochodin","Masai Mara Reserve",1.27,35.03,"Reuters News","Assailants armed with clubs and a firearm beat and robbed a group of German campers on the grounds of a gaming reserve.",0
"92","1997-09-19",1997,"Battle-No change of territory","Unidentified Armed Group (Kenya)","Police Forces of Kenya (1978-2002)","Kenya","Garissa","Garissa Township","Iftin","Garissa",-0.453568,39.646096,"Reuters News","Bandits kill a police chief and four other officers in an ambush, hacking their bodies with machetes.",5
"93","1997-09-19",1997,"Violence against civilians","Unidentified Armed Group (Uganda)","Civilians (Kenya)","Kenya","Turkana","Turkana Central","Kanamkemer","Lodwar",3.11911,35.59727,"BBC Monitoring Service: Africa (25/09/1997)","Raid in Turkana District - Kenyan government demanded compensation from Uganda (details of the attack not specified)",10
"94","1997-09-20",1997,"Battle-No change of territory","Pokot Ethnic Militia (Kenya)","Police Forces of Kenya (1978-2002)","Kenya","Nakuru","Nakuru Town East","Kivumbini","Nakuru",-0.3,36.0833,"Dow Jones International News","Police defend Turkana cattle rearers, killing nine of their Pokot attackers. These events occurred over the course of a weekend.",9
"95","1997-09-20",1997,"Violence against civilians","Unidentified Armed Group (Uganda)","Civilians (Kenya)","Kenya","Turkana","Turkana Central","Kanamkemer","Lodwar",3.11911,35.59727,"BBC Monitoring Service: Africa (25/09/1997)","Raid in Turkana District - Kenyan government demanded compensation from Uganda (details of the attack not specified) - 21 killed and 16 injured",11
"96","1997-09-20",1997,"Violence against civilians","Pokot Ethnic Militia (Uganda)","Civilians (Kenya)","Kenya","Nakuru","Nakuru Town East","Kivumbini","Nakuru",-0.3,36.0833,"Dow Jones International News","31 Turkana nomads were killed and their cattle stolen in an attack by Ugandan Pokot raiders. Police retaliate and kill nine of the attackers. These events occurred over the course of a weekend.",31
"97","1997-09-26",1997,"Battle-No change of territory","Unidentified Armed Group (Kenya)","Police Forces of Kenya (1978-2002)","Kenya","Garissa","Garissa Township","Iftin","Garissa",-0.453568,39.646096,"BBC Monitoring Service: Africa","Armed bandits shoot and kill nine police in a gun battle.",9
"98","1997-09-26",1997,"Violence against civilians","Unidentified Armed Group (Kenya)","Civilians (Kenya)","Kenya","Garissa","Garissa Township","Iftin","Garissa",-0.453568,39.646096,"BBC Monitoring Service: Africa","Three civilians bystanders are killed during a gun battle between police and a armed group.",3
"99","1997-09-27",1997,"Riots/Protests","Rioters (Kenya)","Unitentified","Kenya","Garissa","Garissa Township","Iftin","Garissa",-0.453568,39.646096,"Reuters News","Hundreds of residents rioted in protest of increasing bandits attacks. Cars were burned, shops were looted and a large building fell victim to an arson attack.",9
